ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC,CV_F1_Mean,CV_F1_Std
Logistic Regression,0.998,0.9996966115051222,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9822695035460993,0.9740503125834085,0.013389907576396534
Decision Tree,0.995,0.9964568557919622,0.9608938547486033,0.9555555555555556,0.958217270194986,0.9555623831689865,0.9727561951466314,0.0036121649047641275
KNN,0.9783333333333334,0.9886948384554768,0.9197080291970803,0.7,0.7949526813880127,0.7918830377297047,0.7614938336176907,0.024998278071596495
Naive Bayes,0.935,0.9951182033096927,0.48,1.0,0.6486486486486487,0.6684373647831918,0.6718540210056988,0.018998852491057365
Random Forest (Ensemble),0.9953333333333333,0.999701536643026,0.9662921348314607,0.9555555555555556,0.9608938547486033,0.958429462160267,0.9677343206882083,0.005299753369191828
